Card	Time1	Time2	Time3
1075000	2.6697e+006	2.6889e+006	2.6445e+006
1077500	2.6319e+006	2.6577e+006	2.6606e+006
1080000	2.6303e+006	2.6608e+006	2.6372e+006
1082500	2.6589e+006	2.6664e+006	2.6823e+006
1085000	2.656e+006	2.6487e+006	2.6681e+006
1087500	2.6859e+006	2.6808e+006	2.6825e+006
1090000	3.028e+006	2.6942e+006	2.6344e+006
1092500	2.9499e+006	2.6928e+006	2.6906e+006
1095000	2.7025e+006	2.6578e+006	2.6904e+006
1097500	2.9338e+006	2.6966e+006	2.7162e+006
1100000	2.7206e+006	2.6555e+006	2.712e+006
1102500	2.7101e+006	2.6777e+006	2.6822e+006
1105000	2.7199e+006	3.3554e+006	2.675e+006
1107500	2.7197e+006	2.6981e+006	2.6993e+006
1110000	2.6999e+006	2.7804e+006	3.0073e+006
1112500	2.7071e+006	2.7135e+006	2.7461e+006
1115000	2.717e+006	2.7053e+006	2.7501e+006
1117500	2.6991e+006	2.718e+006	2.7154e+006
1120000	2.7422e+006	2.7203e+006	2.7163e+006
1122500	2.733e+006	2.7702e+006	2.7697e+006
1125000	2.7614e+006	2.7584e+006	2.743e+006
1127500	2.7844e+006	2.7282e+006	3.0238e+006
1130000	2.7328e+006	2.7971e+006	2.7904e+006
1132500	2.79e+006	2.7576e+006	2.783e+006
1135000	2.7847e+006	3.4257e+006	3.4128e+006
1137500	2.7949e+006	3.0723e+006	2.7736e+006
1140000	2.844e+006	2.8476e+006	2.7902e+006
1142500	2.7938e+006	2.7671e+006	2.7985e+006
1145000	2.8098e+006	2.7651e+006	2.8253e+006
1147500	2.7851e+006	2.7854e+006	3.1144e+006
1150000	2.8427e+006	3.0323e+006	2.8351e+006
1152500	2.8348e+006	2.8046e+006	2.8078e+006
1155000	2.9075e+006	2.8257e+006	2.8264e+006
1157500	2.7961e+006	2.8197e+006	2.8589e+006
1160000	2.873e+006	3.1851e+006	2.8449e+006
1162500	2.8556e+006	3.1376e+006	2.8354e+006
1165000	2.8862e+006	2.8812e+006	2.8401e+006
1167500	2.8241e+006	5.7809e+006	2.8595e+006
1170000	2.8782e+006	2.8921e+006	2.8816e+006
1172500	2.9023e+006	2.8409e+006	3.3024e+006
1175000	2.8441e+006	2.9979e+006	2.8851e+006
1177500	2.9136e+006	2.8942e+006	2.8634e+006
1180000	2.8615e+006	2.9036e+006	3.2559e+006
1182500	2.9196e+006	2.9272e+006	3.2451e+006
1185000	2.9071e+006	2.8901e+006	2.9734e+006
1187500	2.8924e+006	2.9245e+006	2.8983e+006
1190000	2.9361e+006	2.9405e+006	2.8925e+006
1192500	2.9031e+006	2.9216e+006	2.9271e+006
1195000	2.9744e+006	2.9216e+006	2.942e+006
1197500	2.9136e+006	2.956e+006	2.9111e+006
1200000	2.9108e+006	2.9248e+006	2.9618e+006
1202500	2.9259e+006	2.9218e+006	2.9488e+006
1205000	2.9565e+006	2.973e+006	3.0206e+006
1207500	2.9735e+006	3.0266e+006	2.9213e+006
1210000	2.9392e+006	2.9702e+006	2.9374e+006
1212500	2.9871e+006	2.9714e+006	2.9711e+006
